Artist Name,Genres,Popularity,Followers Count
Dakpa Nepali,singing bowl,38,1404
Swoopna Suman,nepali pop,46,193318
Sajjan Raj Vaidya,"nepali indie, tibetan pop",53,504272
Trishna Gurung,"classic nepali pop, nepali pop",39,61402
Melina Rai,"classic nepali pop, nepali pop",43,61665
Sugam Pokharel,"classic nepali pop, nepali pop",33,47474
Nepathya,nepali indie,33,170077
Pramod Kharel,"classic nepali pop, nepali pop",34,48905
Narayan Gopal,classic nepali pop,35,69767
Yabesh Thapa,nepali pop,50,241390
VTEN,nephop,44,146197
Bipul Chettri,nepali indie,43,208005
Sujan Chapagain,"classic nepali pop, nepali pop",39,32355
Monkey Temple Nepal,"classic nepali pop, nepali pop",37,49433
Eleena Chauhan,"classic nepali pop, nepali pop",32,10499
Dong,nephop,39,73254
Kali Prasad Baskota,"classic nepali pop, nepali pop",40,42636
Wangden Sherpa,nepali pop,41,24951
Mahesh Kafle,"classic nepali pop, nepali pop",37,14225
Anju Panta,"classic nepali pop, nepali pop",33,18801
Ekdev Limbu,nepali pop,40,48742
Oasis Thapa,nepali pop,44,133551
Shyam Nepali,himalayan folk,29,1736
Almoda Rana Uprety,"classic nepali pop, nepali pop",32,18852
Asmita Adhikari,"classic nepali pop, nepali pop",35,18381
Urgen Dong,"classic nepali pop, nepali pop",35,18371
Sabin Rai,"classic nepali pop, nepali pop",39,73098
Vek,nepali pop,38,93884
Karma Band,"classic nepali pop, nepali pop",32,45607
Népal archived,,24,84
Kutumba,"himalayan folk, nepali pop",22,8296
CD Vijaya Adhikari,,24,100
Nabin K Bhattarai,"classic nepali pop, nepali pop",36,34596
Prajina,nepali pop,45,29549
GOli,nepali pop,38,19267
Diwas Gurung,nepali indie,29,15036
Deepak Bajracharya,"classic nepali pop, nepali pop",21,42276
Bharat Nepali Party,himalayan folk,9,1388
Prakash Saput,"classic nepali pop, lok dohori, nepali pop",27,14552
Music.Npal,,14,267
Prashant ezekiel rai,nepali pop,37,20154
Prabesh Kumar Shrestha,nepali pop,36,73493
Akash Khadka,nepali pop,38,55182
Prakash Dutraj,"classic nepali pop, nepali pop",27,7175
Deepak Limbu,"classic nepali pop, nepali pop",22,7239
1974 A.D,"classic nepali pop, nepali indie, nepali rock",35,55614
Khem Century,"classic nepali pop, nepali pop",28,5089
The Edge Band,nepali indie,38,78466
Changa Productions,,33,260
Gopal Yonjan,classic nepali pop,22,6235
Purna Rai,nepali pop,41,25424
Sunil Giri,"classic nepali pop, nepali indie, nepali pop",31,12019
Amrit Gurung-nepathya,classic nepali pop,27,930
Raju Lama,"classic nepali pop, nepali pop",34,64040
Deepa jha,classic nepali pop,24,5670
Naren Limbu,"classic nepali pop, nepali pop",30,19912
Sur - Sudha,himalayan folk,10,1382
Foeseal,nepali pop,36,2681
Ashutosh KC,nepali pop,35,99641
Outsiders Nepal,nepali pop,17,7929
PranitAcharjuNewar,,30,1860
Yankee Yolmo,nepali pop,26,3422
ArtMandu,"classic nepali pop, nepali pop",31,2830
Laure,nepali pop,31,48698
Cobweb,nepali indie,30,47172
Bishwo Shahi,himalayan folk,21,759
Milan Newar,"classic nepali pop, nepali pop",29,13385
Anxmus Music,,34,10424
Shashwot Khadka,"nepali pop, tibetan pop",35,28793
Ambar Gurung,classic nepali pop,10,1775
Bhakta Raj Acharya,classic nepali pop,25,1182
Sushant Ghimire,,28,3671
Bharat Nepali,himalayan folk,6,243
Kamal Khatri,"classic nepali pop, nepali pop",29,18873
Rajesh Payal Rai,"classic nepali pop, nepali pop",27,28965
Sabin Rai & The Pharaoh,nepali indie,39,70145
Deepak Jangam,classic nepali pop,21,306
Adrian Pradhan,"classic nepali pop, nepali pop",30,40181
Prakash Shrestha,classic nepali pop,17,5080
Ayush Gauchan,nepali pop,37,53372
Sunita Thegim,nepali pop,26,1093
Sila Bahadur Moktan,nepali pop,21,449
GXSOUL,"classic nepali pop, nepali pop",27,20961
AXIX,nepali pop,34,25951
Pushpan Pradhan,"classic nepali pop, nepali pop",26,9983
Ashmita Adhikari,"classic nepali pop, nepali pop",25,2510
Roshan Limbu,,26,934
Nishan Bhattarai,"classic nepali pop, nepali pop",27,880
Prem Dhoj Pradhan,classic nepali pop,21,15858
Manila Sotang,classic nepali pop,21,605
Basanta Sapkota,"classic nepali pop, nepali pop",22,4263
Annu Chaudhary,nepali pop,32,3626
Deepak Kharel,classic nepali pop,15,7178
Prashant Tamang,"classic nepali pop, nepali pop",21,1886
Ram Kumar Nepali,,11,31
Shiva Pariyar,"classic nepali pop, nepali pop",25,28428
Aruna Lama,classic nepali pop,20,17342
Kandara Band,classic nepali pop,23,1142
Good Luck Nepal,,11,23
Tara Prakash Limbu,"classic nepali pop, nepali pop",23,2764
Taradevi,classic nepali pop,21,724
Uday Sotang,classic nepali pop,27,2971
Anmol Gurung,nepali pop,36,22032
Oshin Karki,nepali pop,33,29357
Swapnil Sharma,nepali pop,28,8651
Raju Lama,,14,5
Mantra,"classic nepali pop, nepali pop",29,21550
Ramji Nepali,,7,292
Thug Life Nepal,,8,0
Nepali Update,,1,8
Barsha Karmacharya,nepali pop,28,870
Aashish Sachin,nepali pop,28,1869
Purna Nepali,,3,189
Sanjay Shrestha,classic nepali pop,16,7378
1974 Ad,nepali indie,19,32450
Gyanu Rana,classic nepali pop,20,536
Sabal Dev Shrestha,,29,471
Rajan Raj Siwakoti,"classic nepali pop, nepali pop",27,2703
Rohit Thapa,,30,6084
TUKI MUSIC,nephop,32,20700
Beyond,nepali pop,30,839
Prakash Shrestha,classic nepali pop,20,205
Tanka Budathoki,"classic nepali pop, nepali pop",24,8289
Shambhu Rai,classic nepali pop,19,3428
Deep Shrestha,classic nepali pop,13,20202
Biraj Gautam,nepali pop,21,322
Gourav Rai,nepali pop,23,7162
Swar,nepali pop,26,17210
Saroj Oli,nepali pop,23,832
Prabisha Adhikari,"classic nepali pop, nepali pop",24,8286
Ankit Babu Adhikari,"classic nepali pop, nepali pop",27,4735
Hemanta Rana,"classic nepali pop, nepali pop",25,16880
Mukti & Revival,"classic nepali pop, nepali rock",24,27259
Tika Prasain,nepali pop,24,2089
Hritika Shrestha,nepali pop,25,569
Someya Baraili,,23,21
