,Artist Name,Genres,Popularity,Followers Count
0,Dakpa Nepali,singing bowl,38,1404
1,Swoopna Suman,nepali pop,46,193318
2,Sajjan Raj Vaidya,nepali pop,53,504272
3,Trishna Gurung,nepali pop,39,61402
4,Melina Rai,nepali pop,43,61665
5,Sugam Pokharel,nepali pop,33,47474
6,Nepathya,folk rock,33,170077
7,Pramod Kharel,nepali pop,34,48905
8,Narayan Gopal,modern classical,35,69767
9,Yabesh Thapa,nepali pop,50,241390
10,VTEN,rap,44,146197
11,Bipul Chettri,nepali indie,43,208005
12,Sujan Chapagain,nepali pop,39,32355
13,Monkey Temple Nepal,nepali pop,37,49433
14,Eleena Chauhan,nepali pop,32,10499
15,Dong,rap,39,73254
16,Kali Prasad Baskota,nepali pop,40,42636
17,Wangden Sherpa,nepali pop,41,24951
18,Mahesh Kafle,nepali pop,37,14225
19,Anju Panta,lok dohori,33,18801
20,Ekdev Limbu,nepali pop,40,48742
21,Oasis Thapa,nepali pop,44,133551
22,Shyam Nepali,himalayan folk,29,1736
23,Almoda Rana Uprety,nepali pop,32,18852
24,Asmita Adhikari,nepali pop,35,18381
25,Urgen Dong,nepali pop,35,18371
26,Sabin Rai,nepali pop,39,73098
27,Vek,nepali pop,38,93884
28,Karma Band,nepali pop,32,45607
29,Nepal archived,rap,24,84
30,Kutumba,himalayan folk,22,8296
31,Vijaya Adhikari,modern classical,24,100
32,Nabin K Bhattarai,nepali pop,36,34596
33,Prajina,nepali pop,45,29549
34,GOli,nepali pop,38,19267
35,Diwas Gurung,nepali indie,29,15036
36,Deepak Bajracharya,modern classical,21,42276
37,Bharat Nepali Party,himalayan folk,9,1388
38,Prakash Saput,lok dohori,27,14552
39,Music Nepal,music distributor,14,267
40,Prashant ezekiel rai,nepali pop,37,20154
41,Prabesh Kumar Shrestha,nepali pop,36,73493
42,Akash Khadka,nepali pop,38,55182
43,Prakash Dutraj,nepali pop,27,7175
44,Deepak Limbu,nepali pop,22,7239
45,1974 A.D,nepali rock,35,55614
46,Khem Century,nepali pop,28,5089
47,The Edge Band,nepali indie,38,78466
48,Changa Productions,music distributor,33,260
49,Gopal Yonjan,nepali pop,22,6235
50,Purna Rai,nepali pop,41,25424
